IATA_Code,Airport_Name,Location
HHN,Frankfurt–Hahn Airport,"Hahn, Rhineland-Palatinate, Germany"
HAM,Hamburg Airport,"Hamburg, Germany"
MUC,Munich Airport,"Munich, Bavaria, Germany"
PRG,Václav Havel Airport Prague,"Prague, Czech Republic"
HAJ,Hannover Airport,"Hanover, Lower Saxony, Germany"
CRL,Brussels South Charleroi Airport,"Charleroi, Belgium"
LUX,Luxembourg Findel Airport,"Luxembourg, Luxembourg"
DTM,Dortmund Airport,"Dortmund, North Rhine-Westphalia, Germany"
NRN,Weeze Airport (Niederrhein Airport),"Weeze, North Rhine-Westphalia, Germany"
LBC,Lübeck Airport,"Lübeck, Schleswig-Holstein, Germany"
BLL,Billund Airport,"Billund, Denmark"
DUS,Düsseldorf Airport,"Düsseldorf, North Rhine-Westphalia, Germany"
RLG,Rostock–Laage Airport,"Rostock, Mecklenburg-Vorpommern, Germany"
EIN,Eindhoven Airport,"Eindhoven, Netherlands"
KSF,Kassel Airport,"Kassel, Hesse, Germany"
BRN,Bern Airport,"Bern, Switzerland"
GVA,Geneva Airport,"Geneva, Switzerland"
KRK,John Paul II International Airport Kraków–Balice,"Kraków, Poland"
VIE,Vienna International Airport,"Vienna, Austria"
KLU,Klagenfurt Airport,"Klagenfurt, Austria"
FDH,Friedrichshafen Airport (Bodensee Airport),"Friedrichshafen, Baden-Württemberg, Germany"
FMO,Münster Osnabrück Airport,"Münster / Osnabrück (LS), North Rhine-Westphalia, Germany"
BER,Berlin Brandenburg Airport,"Berlin, Germany"
NUE,Nuremberg Airport,"Nuremberg, Bavaria, Germany"
FMM,Memmingen Airport,"Memmingen, Bavaria, Germany"
SCN,Saarbrücken Airport,"Saarbrücken, Saarland, Germany"
WAW,Warsaw Chopin Airport,"Warsaw, Poland"
SXB,Strasbourg Airport,"Strasbourg, Alsace, France"
GWT,Sylt Airport (Westerland Airport),"Sylt, Schleswig-Holstein, Germany"
LGG,Liège Airport,"Liège, Belgium"
PAD,Paderborn Lippstadt Airport,"Paderborn / Lippstadt, North Rhine-Westphalia, Germany"
DRS,Dresden Airport,"Dresden, Saxony, Germany"
ZRH,Zurich Airport,"Zürich, Switzerland"
LNZ,Linz Airport (Blue Danube Airport),"Linz, Austria"
CSO,Magdeburg–Cochstedt Airport,"Magdeburg, Saxony-Anhalt, Germany"
FKB,Karlsruhe/Baden-Baden Airport,"Karlsruhe / Baden-Baden, Baden-Württemberg, Germany"
SZG,Salzburg Airport,"Salzburg, Austria"
CGN,Cologne Bonn Airport,"Cologne / Bonn, North Rhine-Westphalia, Germany"
AMS,Amsterdam Airport Schiphol,"Amsterdam, Netherlands"
GRZ,Graz Airport,"Graz, Austria"
LEJ,Leipzig/Halle Airport,"Leipzig, Saxony / Halle, Saxony-Anhalt,2 Germany"
BRU,Brussels Airport (Zaventem Airport),"Brussels, Belgium"
STR,Stuttgart Airport,"Stuttgart, Baden-Württemberg, Germany"
ERF,Erfurt–Weimar Airport,"Erfurt, Thuringia, Germany"
FRA,Frankfurt Airport,"Frankfurt, Hessen, Germany"
BSL,EuroAirport Basel-Mulhouse-Freiburg,"Basel, Switzerland"
BRE,Bremen Airport,"Bremen, Bremen, Germany"
INN,Innsbruck Airport (Kranebitten Airport),"Innsbruck, Austria"
PMI,Palma de Mallorca Airport,"Palma de Mallorca, Balearic Islands, Spain"
