departure_airport,arrival_airport,duration_in_minutes
HHN,PMI,125
PMI,HHN,130
HAM,PMI,165
PMI,HAM,165
MUC,PMI,130
PMI,MUC,125
PRG,PMI,160
PMI,PRG,150
HAJ,PMI,145
PMI,HAJ,150
CRL,PMI,130
PMI,CRL,140
LUX,PMI,125
PMI,LUX,135
DTM,PMI,135
PMI,DTM,145
NRN,PMI,140
PMI,NRN,145
LBC,PMI,165
PMI,LBC,165
BLL,PMI,170
PMI,BLL,175
DUS,PMI,145
PMI,DUS,135
RLG,PMI,205
PMI,RLG,215
EIN,PMI,140
PMI,EIN,150
KSF,PMI,145
PMI,KSF,145
BRN,PMI,100
PMI,BRN,100
GVA,PMI,100
PMI,GVA,100
KRK,PMI,180
PMI,KRK,165
VIE,PMI,140
PMI,VIE,140
KLU,PMI,130
PMI,KLU,135
FDH,PMI,120
PMI,FDH,120
FMO,PMI,145
PMI,FMO,155
BER,PMI,165
PMI,BER,165
NUE,PMI,140
PMI,NUE,135
FMM,PMI,120
PMI,FMM,125
SCN,PMI,115
PMI,SCN,125
WAW,PMI,185
PMI,WAW,180
SXB,PMI,120
PMI,SXB,120
GWT,PMI,200
PMI,GWT,200
LGG,PMI,150
PMI,LGG,160
PAD,PMI,210
PMI,PAD,205
DRS,PMI,150
PMI,DRS,150
ZRH,PMI,110
PMI,ZRH,120
LNZ,PMI,130
PMI,LNZ,130
CSO,PMI,210
PMI,CSO,210
FKB,PMI,115
PMI,FKB,125
SZG,PMI,125
PMI,SZG,125
CGN,PMI,145
PMI,CGN,140
AMS,PMI,150
PMI,AMS,155
GRZ,PMI,130
PMI,GRZ,125
LEJ,PMI,145
PMI,LEJ,150
BRU,PMI,155
PMI,BRU,160
STR,PMI,120
PMI,STR,125
ERF,PMI,150
PMI,ERF,150
FRA,PMI,130
PMI,FRA,145
BSL,PMI,110
PMI,BSL,105
BRE,PMI,155
PMI,BRE,160
INN,PMI,120
PMI,INN,115
